timestamp,power(W),energy(kWh)
2025-01-01 00:00:00,25.06,0.00209
2025-01-01 00:05:00,23.15,0.00402
2025-01-01 00:10:00,24.38,0.00605
2025-01-01 00:15:00,24.37,0.00808
2025-01-01 00:20:00,23.72,0.01006
2025-01-01 00:25:00,24.96,0.01214
2025-01-01 00:30:00,22.93,0.01405
2025-01-01 00:35:00,24.35,0.01608
2025-01-01 00:40:00,23.3,0.01802
2025-01-01 00:45:00,23.46,0.01997
2025-01-01 00:50:00,24.3,0.022
2025-01-01 00:55:00,23.14,0.02393
2025-01-01 01:00:00,24.97,0.02601
2025-01-01 01:05:00,22.89,0.02792
2025-01-01 01:10:00,24.26,0.02994
2025-01-01 01:15:00,25.19,0.03204
2025-01-01 01:20:00,23.49,0.03399
2025-01-01 01:25:00,24.23,0.03601
2025-01-01 01:30:00,25.14,0.03811
2025-01-01 01:35:00,23.03,0.04003
2025-01-01 01:40:00,23.94,0.04202
2025-01-01 01:45:00,24.45,0.04406
2025-01-01 01:50:00,23.41,0.04601
2025-01-01 01:55:00,23.15,0.04794
2025-01-01 02:00:00,23.37,0.04989
2025-01-01 02:05:00,25.06,0.05198
2025-01-01 02:10:00,22.9,0.05389
2025-01-01 02:15:00,23.36,0.05583
2025-01-01 02:20:00,24.93,0.05791
2025-01-01 02:25:00,24.26,0.05993
2025-01-01 02:30:00,23.5,0.06189
2025-01-01 02:35:00,23.53,0.06385
2025-01-01 02:40:00,24.56,0.0659
2025-01-01 02:45:00,25.14,0.06799
2025-01-01 02:50:00,24.51,0.07004
2025-01-01 02:55:00,24.79,0.0721
2025-01-01 03:00:00,24.93,0.07418
2025-01-01 03:05:00,24.17,0.07619
2025-01-01 03:10:00,25.06,0.07828
2025-01-01 03:15:00,24.76,0.08034
2025-01-01 03:20:00,23.82,0.08233
2025-01-01 03:25:00,24.56,0.08438
2025-01-01 03:30:00,24.77,0.08644
2025-01-01 03:35:00,22.87,0.08835
2025-01-01 03:40:00,22.41,0.09021
2025-01-01 03:45:00,24.69,0.09227
2025-01-01 03:50:00,23.67,0.09424
2025-01-01 03:55:00,24.64,0.0963
2025-01-01 04:00:00,23.27,0.09824
2025-01-01 04:05:00,23.9,0.10023
2025-01-01 04:10:00,23.8,0.10221
2025-01-01 04:15:00,24.92,0.10429
2025-01-01 04:20:00,23.81,0.10627
2025-01-01 04:25:00,24.78,0.10834
2025-01-01 04:30:00,23.45,0.11029
2025-01-01 04:35:00,24.37,0.11232
2025-01-01 04:40:00,24.24,0.11434
2025-01-01 04:45:00,24.54,0.11639
2025-01-01 04:50:00,23.13,0.11831
2025-01-01 04:55:00,23.21,0.12025
2025-01-01 05:00:00,25.1,0.12234
2025-01-01 05:05:00,23.44,0.12429
2025-01-01 05:10:00,23.9,0.12629
2025-01-01 05:15:00,23.38,0.12823
2025-01-01 05:20:00,25.1,0.13033
2025-01-01 05:25:00,24.68,0.13238
2025-01-01 05:30:00,23.55,0.13434
2025-01-01 05:35:00,24.69,0.1364
2025-01-01 05:40:00,24.94,0.13848
2025-01-01 05:45:00,23.73,0.14046
2025-01-01 05:50:00,25.09,0.14255
2025-01-01 05:55:00,23.27,0.14449
2025-01-01 06:00:00,24.72,0.14655
2025-01-01 06:05:00,25.06,0.14864
2025-01-01 06:10:00,24.21,0.15065
2025-01-01 06:15:00,22.91,0.15256
2025-01-01 06:20:00,24.98,0.15465
2025-01-01 06:25:00,23.39,0.15659
2025-01-01 06:30:00,24.16,0.15861
2025-01-01 06:35:00,23.0,0.16052
2025-01-01 06:40:00,23.63,0.16249
2025-01-01 06:45:00,24.04,0.1645
2025-01-01 06:50:00,24.0,0.1665
2025-01-01 06:55:00,23.88,0.16849
2025-01-01 07:00:00,23.66,0.17046
2025-01-01 07:05:00,23.62,0.17243
2025-01-01 07:10:00,24.85,0.1745
2025-01-01 07:15:00,24.12,0.17651
2025-01-01 07:20:00,22.81,0.17841
2025-01-01 07:25:00,24.35,0.18044
2025-01-01 07:30:00,23.7,0.18241
2025-01-01 07:35:00,24.03,0.18442
2025-01-01 07:40:00,23.4,0.18637
2025-01-01 07:45:00,23.44,0.18832
2025-01-01 07:50:00,24.64,0.19037
2025-01-01 07:55:00,25.09,0.19246
2025-01-01 08:00:00,23.11,0.19439
2025-01-01 08:05:00,22.92,0.1963
2025-01-01 08:10:00,23.79,0.19828
2025-01-01 08:15:00,24.33,0.20031
2025-01-01 08:20:00,24.05,0.20231
2025-01-01 08:25:00,23.72,0.20429
2025-01-01 08:30:00,24.88,0.20636
2025-01-01 08:35:00,24.89,0.20844
2025-01-01 08:40:00,24.17,0.21045
2025-01-01 08:45:00,24.92,0.21253
2025-01-01 08:50:00,23.89,0.21452
2025-01-01 08:55:00,24.32,0.21655
2025-01-01 09:00:00,22.97,0.21846
2025-01-01 09:05:00,24.08,0.22047
2025-01-01 09:10:00,24.3,0.22249
2025-01-01 09:15:00,24.47,0.22453
2025-01-01 09:20:00,23.09,0.22646
2025-01-01 09:25:00,24.65,0.22851
2025-01-01 09:30:00,24.26,0.23053
2025-01-01 09:35:00,23.75,0.23251
2025-01-01 09:40:00,25.19,0.23461
2025-01-01 09:45:00,24.29,0.23663
2025-01-01 09:50:00,25.05,0.23872
2025-01-01 09:55:00,23.92,0.24071
2025-01-01 10:00:00,23.3,0.24266
2025-01-01 10:05:00,24.47,0.2447
2025-01-01 10:10:00,22.71,0.24659
2025-01-01 10:15:00,23.33,0.24853
2025-01-01 10:20:00,24.3,0.25056
2025-01-01 10:25:00,22.85,0.25246
2025-01-01 10:30:00,24.61,0.25451
2025-01-01 10:35:00,25.01,0.2566
2025-01-01 10:40:00,23.96,0.25859
2025-01-01 10:45:00,24.99,0.26068
2025-01-01 10:50:00,24.67,0.26273
2025-01-01 10:55:00,25.2,0.26483
2025-01-01 11:00:00,22.81,0.26673
2025-01-01 11:05:00,24.22,0.26875
2025-01-01 11:10:00,24.83,0.27082
2025-01-01 11:15:00,24.84,0.27289
2025-01-01 11:20:00,23.64,0.27486
2025-01-01 11:25:00,23.43,0.27681
2025-01-01 11:30:00,23.33,0.27876
2025-01-01 11:35:00,24.39,0.28079
2025-01-01 11:40:00,23.81,0.28277
2025-01-01 11:45:00,23.36,0.28472
2025-01-01 11:50:00,24.47,0.28676
2025-01-01 11:55:00,23.72,0.28874
2025-01-01 12:00:00,23.74,0.29072
2025-01-01 12:05:00,23.26,0.29265
2025-01-01 12:10:00,22.96,0.29457
2025-01-01 12:15:00,25.11,0.29666
2025-01-01 12:20:00,24.25,0.29868
2025-01-01 12:25:00,24.17,0.30069
2025-01-01 12:30:00,22.97,0.30261
2025-01-01 12:35:00,23.88,0.3046
2025-01-01 12:40:00,23.39,0.30655
2025-01-01 12:45:00,24.84,0.30862
2025-01-01 12:50:00,22.91,0.31053
2025-01-01 12:55:00,23.36,0.31247
2025-01-01 13:00:00,24.97,0.31455
2025-01-01 13:05:00,24.65,0.31661
2025-01-01 13:10:00,24.26,0.31863
2025-01-01 13:15:00,25.11,0.32072
2025-01-01 13:20:00,23.62,0.32269
2025-01-01 13:25:00,24.04,0.32469
2025-01-01 13:30:00,23.3,0.32664
2025-01-01 13:35:00,24.85,0.32871
2025-01-01 13:40:00,24.52,0.33075
2025-01-01 13:45:00,23.84,0.33274
2025-01-01 13:50:00,23.34,0.33468
2025-01-01 13:55:00,24.82,0.33675
2025-01-01 14:00:00,24.63,0.3388
2025-01-01 14:05:00,23.84,0.34079
2025-01-01 14:10:00,24.72,0.34285
2025-01-01 14:15:00,23.77,0.34483
2025-01-01 14:20:00,24.06,0.34684
2025-01-01 14:25:00,23.21,0.34877
2025-01-01 14:30:00,23.21,0.3507
2025-01-01 14:35:00,23.9,0.35269
2025-01-01 14:40:00,24.19,0.35471
2025-01-01 14:45:00,23.17,0.35664
2025-01-01 14:50:00,23.38,0.35859
2025-01-01 14:55:00,23.65,0.36056
2025-01-01 15:00:00,23.09,0.36248
2025-01-01 15:05:00,24.64,0.36454
2025-01-01 15:10:00,22.84,0.36644
2025-01-01 15:15:00,24.53,0.36849
