timestamp,power(W),energy(kWh)
1/1/2025 0:00,25.06,0.00209
1/1/2025 0:05,23.15,0.00402
1/1/2025 0:10,24.38,0.00605
1/1/2025 0:15,24.37,0.00808
1/1/2025 0:20,23.72,0.01006
1/1/2025 0:25,24.96,0.01214
1/1/2025 0:30,22.93,0.01405
1/1/2025 0:35,24.35,0.01608
1/1/2025 0:40,23.3,0.01802
1/1/2025 0:45,23.46,0.01997
1/1/2025 0:50,24.3,0.022
1/1/2025 0:55,23.14,0.02393
1/1/2025 1:00,24.97,0.02601
1/1/2025 1:05,22.89,0.02792
1/1/2025 1:10,24.26,0.02994
1/1/2025 1:15,25.19,0.03204
1/1/2025 1:20,23.49,0.03399
1/1/2025 1:25,24.23,0.03601
1/1/2025 1:30,25.14,0.03811
1/1/2025 1:35,23.03,0.04003
1/1/2025 1:40,23.94,0.04202
1/1/2025 1:45,24.45,0.04406
1/1/2025 1:50,23.41,0.04601
1/1/2025 1:55,23.15,0.04794
1/1/2025 2:00,23.37,0.04989
1/1/2025 2:05,25.06,0.05198
1/1/2025 2:10,22.9,0.05389
1/1/2025 2:15,23.36,0.05583
1/1/2025 2:20,24.93,0.05791
1/1/2025 2:25,24.26,0.05993
1/1/2025 2:30,23.5,0.06189
1/1/2025 2:35,23.53,0.06385
1/1/2025 2:40,24.56,0.0659
1/1/2025 2:45,25.14,0.06799
1/1/2025 2:50,24.51,0.07004
1/1/2025 2:55,24.79,0.0721
1/1/2025 3:00,24.93,0.07418
1/1/2025 3:05,24.17,0.07619
1/1/2025 3:10,25.06,0.07828
1/1/2025 3:15,24.76,0.08034
1/1/2025 3:20,23.82,0.08233
1/1/2025 3:25,24.56,0.08438
1/1/2025 3:30,24.77,0.08644
1/1/2025 3:35,22.87,0.08835
1/1/2025 3:40,22.41,0.09021
1/1/2025 3:45,24.69,0.09227
1/1/2025 3:50,23.67,0.09424
1/1/2025 3:55,24.64,0.0963
1/1/2025 4:00,23.27,0.09824
1/1/2025 4:05,23.9,0.10023
1/1/2025 4:10,23.8,0.10221
1/1/2025 4:15,24.92,0.10429
1/1/2025 4:20,23.81,0.10627
1/1/2025 4:25,24.78,0.10834
1/1/2025 4:30,23.45,0.11029
1/1/2025 4:35,24.37,0.11232
1/1/2025 4:40,24.24,0.11434
1/1/2025 4:45,24.54,0.11639
1/1/2025 4:50,23.13,0.11831
1/1/2025 4:55,23.21,0.12025
1/1/2025 5:00,25.1,0.12234
1/1/2025 5:05,23.44,0.12429
1/1/2025 5:10,23.9,0.12629
1/1/2025 5:15,23.38,0.12823
1/1/2025 5:20,25.1,0.13033
1/1/2025 5:25,24.68,0.13238
1/1/2025 5:30,23.55,0.13434
1/1/2025 5:35,24.69,0.1364
1/1/2025 5:40,24.94,0.13848
1/1/2025 5:45,23.73,0.14046
1/1/2025 5:50,25.09,0.14255
1/1/2025 5:55,23.27,0.14449
1/1/2025 6:00,24.72,0.14655
1/1/2025 6:05,25.06,0.14864
1/1/2025 6:10,24.21,0.15065
